OBJECTID,Type,Provider,Remarks,SSID,Activated
7115,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-03-30
7116,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-06-15
7117,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-03-22
7118,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-03-28
7119,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-04-22
7120,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-09-30
7121,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-09-30
7122,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-09-30
7123,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-16
7124,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-19
7125,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-16
7126,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-19
7127,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-19
7128,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-19
7129,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-18
7130,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7131,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-03
7132,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-14
7133,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-10-28
7134,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7135,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-19
7136,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-19
7137,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-03
7138,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-24
7139,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-16
7140,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-04-27
7141,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-16
7142,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-26
7143,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-12
7144,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-11-01
7145,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-12
7146,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-26
7147,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-26
7148,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-06-27
7149,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-16
7150,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-06-27
7151,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-01-03
7152,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-01-03
7153,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-12
7154,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-01-03
7155,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-04-02
7156,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-09-30
7157,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-01-03
7158,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7159,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-11-21
7160,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-11-21
7161,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-11-15
7162,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-19
7163,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-30
7164,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-11-02
7165,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-02-27
7166,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-05-05
7167,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-07-20
7168,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-04-27
7169,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-04-27
7170,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-18
7171,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-04-09
7172,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-14
7173,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-14
7522,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-15
7523,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-15
7524,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-08
7525,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-03-05
7526,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-08
7527,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7528,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-12-15
7529,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-07-19
7530,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-29
7531,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-04-10
7532,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-05-10
7533,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-14
7534,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7535,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7536,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-10-27
7537,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-10-27
7538,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-31
7539,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-02
7540,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-04-07
7541,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-08-19
7542,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-09-19
7543,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7544,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-10-21
7545,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-28
7546,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-06-19
7547,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-05-30
7548,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-06-05
7549,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-06
7550,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-30
7551,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-28
7552,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-09
7553,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-11-02
7554,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-11-02
7555,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-01-18
7556,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-10
7557,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-11-21
7558,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-11-21
7559,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-30
7560,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-12-09
7561,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-03-23
7562,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-07-25
7563,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-12-04
7564,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-01-18
1590,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1591,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1592,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1593,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1594,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1595,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1596,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1597,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1598,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1599,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1600,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1601,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1602,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1603,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1604,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1605,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1606,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1607,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1608,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1609,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1610,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1611,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1612,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1613,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1614,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1615,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1616,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1617,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1618,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1619,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1620,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1621,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1622,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
2188,Free,Transit Wireless,SN 439,TransitWirelessWiFi,
2189,Free,Transit Wireless,SN 392,TransitWirelessWiFi,
2190,Free,Transit Wireless,SN 153,TransitWirelessWiFi,
2191,Free,Transit Wireless,SN 438,TransitWirelessWiFi,
2192,Free,Transit Wireless,SN 152,TransitWirelessWiFi,
2193,Free,Transit Wireless,SN 305,TransitWirelessWiFi,
2194,Free,Transit Wireless,SN 397,TransitWirelessWiFi,
2195,Free,Transit Wireless,SN 304,TransitWirelessWiFi,
2196,Free,Transit Wireless,SN 437,TransitWirelessWiFi,
2197,Free,Transit Wireless,SN 151,TransitWirelessWiFi,
2198,Free,Transit Wireless,SN 220,TransitWirelessWiFi,
2199,Free,Transit Wireless,SN 150,TransitWirelessWiFi,
2200,Free,Transit Wireless,SN 303,TransitWirelessWiFi,
2201,Free,Transit Wireless,SN 21,TransitWirelessWiFi,
2202,Free,Transit Wireless,SN 149,TransitWirelessWiFi,
2203,Free,Transit Wireless,SN 147,TransitWirelessWiFi,
2204,Free,Transit Wireless,SN 146,TransitWirelessWiFi,
2205,Free,Transit Wireless,SN 300,TransitWirelessWiFi,
2206,Free,Transit Wireless,SN 399,TransitWirelessWiFi,
2207,Free,Transit Wireless,SN 398,TransitWirelessWiFi,
2208,Free,Transit Wireless,SN 396,TransitWirelessWiFi,
2209,Free,Transit Wireless,SN 376,TransitWirelessWiFi,
2210,Free,Transit Wireless,SN 308,TransitWirelessWiFi,
2211,Free,Transit Wireless,SN 155,TransitWirelessWiFi,
2212,Free,Transit Wireless,SN 441,TransitWirelessWiFi,
2213,Free,Transit Wireless,SN 375,TransitWirelessWiFi,
2214,Free,Transit Wireless,SN 233,TransitWirelessWiFi,
2215,Free,Transit Wireless,SN 102,TransitWirelessWiFi,
2216,Free,Transit Wireless,SN 144,TransitWirelessWiFi,
2217,Free,Transit Wireless,SN 374,TransitWirelessWiFi,
2218,Free,Transit Wireless,SN 373,TransitWirelessWiFi,
2219,Free,Transit Wireless,SN 234,TransitWirelessWiFi,
2220,Free,Transit Wireless,SN 447,TransitWirelessWiFi,
2221,Free,Transit Wireless,SN 106,TransitWirelessWiFi,
2222,Free,Transit Wireless,SN 332,TransitWirelessWiFi,
2223,Free,Transit Wireless,SN 412,TransitWirelessWiFi,
2224,Free,Transit Wireless,SN 412A,TransitWirelessWiFi,
2225,Free,Transit Wireless,SN 172,TransitWirelessWiFi,
2226,Free,Transit Wireless,SN 436,TransitWirelessWiFi,
2227,Free,Transit Wireless,SN 143,TransitWirelessWiFi,
2228,Free,Transit Wireless,SN 280,TransitWirelessWiFi,
2229,Free,Transit Wireless,SN 372,TransitWirelessWiFi,
2230,Free,Transit Wireless,SN 232,TransitWirelessWiFi,
2231,Free,Transit Wireless,SN 210,TransitWirelessWiFi,
2232,Free,Transit Wireless,SN 211,TransitWirelessWiFi,
2233,Free,Transit Wireless,SN 212,TransitWirelessWiFi,
2234,Free,Transit Wireless,SN 217,TransitWirelessWiFi,
2235,Free,Transit Wireless,SN 425,TransitWirelessWiFi,
2236,Free,Transit Wireless,SN 7,TransitWirelessWiFi,
2237,Free,Transit Wireless,SN 215,TransitWirelessWiFi,
2238,Free,Transit Wireless,SN 216,TransitWirelessWiFi,
2239,Free,Transit Wireless,SN 219,TransitWirelessWiFi,
2240,Free,Transit Wireless,SN 275,TransitWirelessWiFi,
2241,Free,Transit Wireless,SN 400,TransitWirelessWiFi,
2242,Free,Transit Wireless,SN 401,TransitWirelessWiFi,
2243,Free,Transit Wireless,SN 213,TransitWirelessWiFi,
2244,Free,Transit Wireless,SN 214,TransitWirelessWiFi,
2245,Free,Transit Wireless,SN 120,TransitWirelessWiFi,
2246,Free,Transit Wireless,SN 122,TransitWirelessWiFi,
2247,Free,Transit Wireless,SN 283,TransitWirelessWiFi,
2248,Free,Transit Wireless,SN 284,TransitWirelessWiFi,
2249,Free,Transit Wireless,SN 17,TransitWirelessWiFi,
2250,Free,Transit Wireless,SN 323,TransitWirelessWiFi,
2251,Free,Transit Wireless,SN 324,TransitWirelessWiFi,
2252,Free,Transit Wireless,SN 16,TransitWirelessWiFi,
2253,Free,Transit Wireless,SN 18,TransitWirelessWiFi,
2254,Free,Transit Wireless,SN 19,TransitWirelessWiFi,
2255,Free,Transit Wireless,SN 20,TransitWirelessWiFi,
2256,Free,Transit Wireless,SN 103,TransitWirelessWiFi,
2257,Free,Transit Wireless,SN 104,TransitWirelessWiFi,
2258,Free,Transit Wireless,SN 118,TransitWirelessWiFi,
2259,Free,Transit Wireless,SN 119,TransitWirelessWiFi,
2260,Free,Transit Wireless,SN 167,TransitWirelessWiFi,
2261,Free,Transit Wireless,SN 168,TransitWirelessWiFi,
2262,Free,Transit Wireless,SN 169,TransitWirelessWiFi,
2263,Free,Transit Wireless,SN 170,TransitWirelessWiFi,
2264,Free,Transit Wireless,SN 171,TransitWirelessWiFi,
2265,Free,Transit Wireless,SN 231,TransitWirelessWiFi,
2266,Free,Transit Wireless,SN 325,TransitWirelessWiFi,
2267,Free,Transit Wireless,SN 326,TransitWirelessWiFi,
2268,Free,Transit Wireless,SN 327,TransitWirelessWiFi,
2269,Free,Transit Wireless,SN 329,TransitWirelessWiFi,
2270,Free,Transit Wireless,SN 331,TransitWirelessWiFi,
2271,Free,Transit Wireless,SN 333,TransitWirelessWiFi,
2272,Free,Transit Wireless,SN 409,TransitWirelessWiFi,
1623,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1624,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1625,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1626,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1627,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
1628,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1629,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1630,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1631,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1632,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1633,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1634,Free,AT&T,,attwifi,
1635,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1636,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1637,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1638,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1639,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1640,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1641,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1642,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1643,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1644,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1645,Partner Site,Partner,,BryantPark.org,
1646,Free,AT&T,,attwifi,
1647,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1648,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1649,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1650,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1651,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
1652,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
7565,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-06-12
7566,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-03-08
7567,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-15
7568,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-03-28
7569,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-05-08
7570,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-04-04
7571,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-01-25
7572,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-11-07
7573,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-06-13
7574,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-03-29
7575,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-20
7576,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-06
7577,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7578,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2016-11-16
7579,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-16
7580,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-20
7581,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-20
7582,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-01-17
7583,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7584,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-01-17
7585,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-08
7586,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-04-13
7587,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
7588,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-05-23
1680,Free,Harlem,,Harlem Wi-Fi,
1681,Free,Harlem,,Harlem Wi-Fi,
1682,Free,Harlem,,Harlem Wi-Fi,
1683,Free,Harlem,,Harlem Wi-Fi,
1684,Free,Harlem,,Harlem Wi-Fi,
1685,Free,Harlem,,Harlem Wi-Fi,
1686,Free,Harlem,,Harlem Wi-Fi,
